title,text,subject,date
Government announces free gold for every citizen,A viral post claims every citizen will receive free gold from the government next week. Officials have denied the claim.,Politics,2024-01-10
Scientists find dragons in Himalayas,Social media falsely claims dragons were discovered in the Himalayas.,World,2024-02-11
Fake News Headline 3,This is a fabricated news article number 3 created for academic machine learning practice.,General,2024-01-04
Fake News Headline 4,This is a fabricated news article number 4 created for academic machine learning practice.,General,2024-01-05
Fake News Headline 5,This is a fabricated news article number 5 created for academic machine learning practice.,General,2024-01-06
Fake News Headline 6,This is a fabricated news article number 6 created for academic machine learning practice.,General,2024-01-07
Fake News Headline 7,This is a fabricated news article number 7 created for academic machine learning practice.,General,2024-01-08
Fake News Headline 8,This is a fabricated news article number 8 created for academic machine learning practice.,General,2024-01-09
Fake News Headline 9,This is a fabricated news article number 9 created for academic machine learning practice.,General,2024-01-10
Fake News Headline 10,This is a fabricated news article number 10 created for academic machine learning practice.,General,2024-01-11
Fake News Headline 11,This is a fabricated news article number 11 created for academic machine learning practice.,General,2024-01-12
Fake News Headline 12,This is a fabricated news article number 12 created for academic machine learning practice.,General,2024-01-13
Fake News Headline 13,This is a fabricated news article number 13 created for academic machine learning practice.,General,2024-01-14
Fake News Headline 14,This is a fabricated news article number 14 created for academic machine learning practice.,General,2024-01-15
Fake News Headline 15,This is a fabricated news article number 15 created for academic machine learning practice.,General,2024-01-16
Fake News Headline 16,This is a fabricated news article number 16 created for academic machine learning practice.,General,2024-01-17
Fake News Headline 17,This is a fabricated news article number 17 created for academic machine learning practice.,General,2024-01-18
Fake News Headline 18,This is a fabricated news article number 18 created for academic machine learning practice.,General,2024-01-19
Fake News Headline 19,This is a fabricated news article number 19 created for academic machine learning practice.,General,2024-01-20
Fake News Headline 20,This is a fabricated news article number 20 created for academic machine learning practice.,General,2024-01-21
Fake News Headline 21,This is a fabricated news article number 21 created for academic machine learning practice.,General,2024-01-22
Fake News Headline 22,This is a fabricated news article number 22 created for academic machine learning practice.,General,2024-01-23
Fake News Headline 23,This is a fabricated news article number 23 created for academic machine learning practice.,General,2024-01-24
Fake News Headline 24,This is a fabricated news article number 24 created for academic machine learning practice.,General,2024-01-25
Fake News Headline 25,This is a fabricated news article number 25 created for academic machine learning practice.,General,2024-01-26
Fake News Headline 26,This is a fabricated news article number 26 created for academic machine learning practice.,General,2024-01-27
Fake News Headline 27,This is a fabricated news article number 27 created for academic machine learning practice.,General,2024-01-28
Fake News Headline 28,This is a fabricated news article number 28 created for academic machine learning practice.,General,2024-01-01
